HPO_TERM_ID,HPO_TERM_NAME,CATEGORY
HP:0002686,Prenatal maternal abnormality,Prenatal and Birth
HP:0001250,Seizure,Nervous System
HP:0002286,Fair hair,"Skin, Hair, and Nails"
HP:0034458,Elevated urinary phenylpyruvic acid level,Genitourinary system
HP:0100324,Scleroderma,"Skin, Hair, and Nails"
HP:0000518,Cataract,Eye
HP:0000716,Depression,Nervous System
HP:0000958,Dry skin,"Skin, Hair, and Nails"
HP:0000737,Irritability,Nervous System
HP:0000718,Aggressive behavior,Nervous System
HP:0000739,Anxiety,Nervous System
HP:0000635,Blue irides,Eye
HP:0000752,Hyperactivity,Nervous System
HP:0002514,Cerebral calcification,Nervous System
HP:0001249,Intellectual disability,Nervous System
HP:0001347,Hyperreflexia,Nervous System
HP:0000252,Microcephaly,Head and neck
HP:0410066,Increased level of hippuric acid in urine,Genitourinary system
HP:0005982,Reduced phenylalanine hydroxylase level,Metabolism/Laboratory abnormality
HP:0000709,Psychosis,Nervous System
HP:0100610,Maternal hyperphenylalaninemia,Metabolism/Laboratory abnormality
HP:0000007,Autosomal recessive inheritance,Inheritance
HP:0000964,Eczema,Immunology
HP:0004923,Hyperphenylalaninemia,Metabolism/Laboratory abnormality
HP:0007018,Attention deficit hyperactivity disorder,Nervous System
HP:0007513,Generalized hypopigmentation,"Skin, Hair, and Nails"
HP:0004920,Phenylpyruvic acidemia,Metabolism/Laboratory abnormality
HP:0000742,Self-mutilation,Nervous System
