HPO_TERM_ID,HPO_TERM_NAME,CATEGORY
HP:0000044,Hypogonadotropic hypogonadism,Genitourinary system
HP:0001531,Failure to thrive in infancy,Growth
HP:0000046,Small scrotum,Genitourinary system
HP:0001773,Short foot,Limbs
HP:0000486,Strabismus,Eye
HP:0004322,Short stature,Growth
HP:0001250,Seizure,Nervous System
HP:0003199,Decreased muscle mass,Musculature
HP:0001010,Hypopigmentation of the skin,"Skin, Hair, and Nails"
HP:0001290,Generalized hypotonia,Musculature
HP:0004283,Narrow palm,Limbs
HP:0012743,Abdominal obesity,Growth
HP:0000717,Autism,Nervous System
HP:0011461,Fetal onset,Clinical course
HP:0001328,Specific learning disability,Nervous System
HP:0000876,Oligomenorrhea,Genitourinary system
HP:0009466,Radial deviation of finger,Limbs
HP:0002857,Genu valgum,Limbs
HP:0003745,Sporadic,Inheritance
HP:0005968,Temperature instability,Metabolism/Laboratory abnormality
HP:0001249,Intellectual disability,Nervous System
HP:0007328,Impaired pain sensation,Nervous System
HP:0031878,Acromicria,Limbs
HP:0001385,Hip dysplasia,Skeletal system
HP:0000054,Micropenis,Genitourinary system
HP:0002791,Hypoventilation,Respiratory System
HP:0002033,Poor suck,Digestive System
HP:0001263,Global developmental delay,Nervous System
HP:0002591,Polyphagia,Nervous System
HP:0003241,External genital hypoplasia,Genitourinary system
HP:0033454,Tube feeding,Digestive System
HP:0000846,Adrenal insufficiency,Endocrine
HP:0007874,Almond-shaped palpebral fissure,Head and neck
HP:0000565,Esotropia,Eye
HP:0007513,Generalized hypopigmentation,"Skin, Hair, and Nails"
HP:0005978,Type II diabetes mellitus,Metabolism/Laboratory abnormality
HP:0000842,Hyperinsulinemia,Metabolism/Laboratory abnormality
HP:0000446,Narrow nasal bridge,Head and neck
HP:0000006,Autosomal dominant inheritance,Inheritance
HP:0000341,Narrow forehead,Head and neck
HP:0000582,Upslanted palpebral fissure,Head and neck
HP:0003577,Congenital onset,Clinical course
HP:0005599,Hypopigmentation of hair,"Skin, Hair, and Nails"
HP:0000540,Hypermetropia,Eye
HP:0000064,Hypoplastic labia minora,Genitourinary system
HP:0002360,Sleep disturbance,Nervous System
HP:0000060,Clitoral hypoplasia,Genitourinary system
HP:0001270,Motor delay,Nervous System
HP:0000939,Osteoporosis,Skeletal system
HP:0000938,Osteopenia,Skeletal system
HP:0030919,Low 5-minute APGAR score,Prenatal and Birth
HP:0030918,Low 1-minute APGAR score,Prenatal and Birth
HP:0008872,Feeding difficulties in infancy,Digestive System
HP:0000219,Thin upper lip vermilion,Head and neck
HP:0002119,Ventriculomegaly,Nervous System
HP:0030084,Clinodactyly,Limbs
HP:0002714,Downturned corners of mouth,Head and neck
HP:0002236,Frontal upsweep of hair,"Skin, Hair, and Nails"
HP:0001623,Breech presentation,Prenatal and Birth
HP:0001562,Oligohydramnios,Prenatal and Birth
HP:0000670,Carious teeth,Head and neck
HP:0001561,Polyhydramnios,Prenatal and Birth
HP:0000992,Cutaneous photosensitivity,"Skin, Hair, and Nails"
HP:0000750,Delayed speech and language development,Nervous System
HP:0002650,Scoliosis,Skeletal system
HP:0004279,Short palm,Limbs
HP:0010535,Sleep apnea,Respiratory System
HP:0000709,Psychosis,Nervous System
HP:0000826,Precocious puberty,Endocrine
HP:0002808,Kyphosis,Skeletal system
HP:0007010,Poor fine motor coordination,Nervous System
HP:0000789,Infertility,Genitourinary system
HP:0001558,Decreased fetal movement,Prenatal and Birth
HP:0000824,Decreased response to growth hormone stimulation test,Nervous System
HP:0007730,Iris hypopigmentation,Eye
HP:0007015,Poor gross motor coordination,Nervous System
HP:0001319,Neonatal hypotonia,Musculature
HP:0100716,Self-injurious behavior,Nervous System
HP:0000823,Delayed puberty,Growth
HP:0000268,Dolichocephaly,Head and neck
HP:0002205,Recurrent respiratory infections,Immunology
HP:0200055,Small hand,Limbs
HP:0001159,Syndactyly,Limbs
HP:0001511,Intrauterine growth retardation,Growth
HP:0007018,Attention deficit hyperactivity disorder,Nervous System
HP:0000028,Cryptorchidism,Genitourinary system
HP:0000545,Myopia,Eye
HP:0001513,Obesity,Growth
HP:0000786,Primary amenorrhea,Genitourinary system
