HPO_TERM_ID,HPO_TERM_NAME,CATEGORY
HP:0000384,Preauricular skin tag,Head and neck
HP:0003577,Congenital onset,Clinical course
HP:0000486,Strabismus,Eye
HP:0000160,Narrow mouth,Head and neck
HP:0000185,Cleft soft palate,Head and neck
HP:0008551,Microtia,Ear
HP:0001627,Abnormal heart morphology,Cardiovascular
HP:0000636,Upper eyelid coloboma,Head and neck
HP:0000652,Lower eyelid coloboma,Head and neck
HP:0000413,Atresia of the external auditory canal,Ear
HP:0001249,Intellectual disability,Nervous System
HP:0000572,Visual loss,Eye
HP:0000154,Wide mouth,Head and neck
HP:0000197,Abnormal parotid gland morphology,Head and neck
HP:0000175,Cleft palate,Head and neck
HP:0000494,Downslanted palpebral fissures,Head and neck
HP:0000453,Choanal atresia,Head and neck
HP:0000272,Malar flattening,Head and neck
HP:0000508,Ptosis,Eye
HP:0009555,Hypoplasia of the pharynx,Respiratory System
HP:0009554,Preauricular hair displacement,Head and neck
HP:0000405,Conductive hearing impairment,Ear
HP:0007633,Bilateral microphthalmos,Eye
HP:0007776,Sparse lower eyelashes,Head and neck
HP:0007678,Lacrimal duct stenosis,Head and neck
HP:0000006,Autosomal dominant inheritance,Inheritance
HP:0000028,Cryptorchidism,Genitourinary system
HP:0000347,Micrognathia,Head and neck
