HPO_TERM_ID,HPO_TERM_NAME,CATEGORY
HP:0000244,Brachyturricephaly,Head and neck
HP:0000486,Strabismus,Eye
HP:0003795,Short middle phalanx of toe,Limbs
HP:0002780,Bronchomalacia,Respiratory System
HP:0003196,Short nose,Head and neck
HP:0004440,Coronal craniosynostosis,Head and neck
HP:0003070,Elbow ankylosis,Limbs
HP:0010055,Broad hallux,Limbs
HP:0006110,Shortening of all middle phalanges of the fingers,Limbs
HP:0000316,Hypertelorism,Eye
HP:0000238,Hydrocephalus,Nervous System
HP:0000678,Dental crowding,Head and neck
HP:0000218,High palate,Head and neck
HP:0001249,Intellectual disability,Nervous System
HP:0002676,Cloverleaf skull,Head and neck
HP:0000494,Downslanted palpebral fissures,Head and neck
HP:0005347,Tracheal cartilaginous sleeve,Respiratory System
HP:0000453,Choanal atresia,Head and neck
HP:0000452,Choanal stenosis,Head and neck
HP:0003041,Humeroradial synostosis,Limbs
HP:0005280,Depressed nasal bridge,Head and neck
HP:0011304,Broad thumb,Limbs
HP:0000327,Hypoplasia of the maxilla,Head and neck
HP:0002308,Chiari malformation,Nervous System
HP:0006101,Finger syndactyly,Limbs
HP:0001159,Syndactyly,Limbs
HP:0000586,Shallow orbits,Eye
HP:0000006,Autosomal dominant inheritance,Inheritance
HP:0000303,Mandibular prognathia,Head and neck
